id,title,type,genres,providers,vote_count,vote_average
634,브리짓 존스의 일기,movie,"코미디,로맨스,드라마",Netflix,5334,6.741
131707,18+ : True Love Never Dies,movie,드라마,기타,5,3.5
637,인생은 아름다워,movie,"코미디,드라마",기타,13640,8.44
262783,Nottetempo,movie,스릴러,기타,3,7.2
640,캐치 미 이프 유 캔,movie,"드라마,범죄",Watcha,16507,7.979
644,에이 아이,movie,"드라마,SF,모험",Watcha,6448,7.05
646,007 살인번호,movie,"모험,액션,스릴러",Watcha,3873,6.988
459403,Doddmane Hudga,movie,"드라마,액션,가족",기타,5,5.8
652,트로이,movie,"전쟁,액션,역사",기타,10704,7.165
950925,Hunting Souls,movie,공포,기타,2,3.0
66194,Deadtime Stories,movie,"코미디,공포",기타,71,4.9
98962,Sor Citroen,movie,코미디,기타,21,6.0
665,벤허,movie,"역사,드라마,모험",Watcha,2979,7.888
670,올드보이,movie,"드라마,스릴러,미스터리,액션","Netflix, TVING",9362,8.245
671,해리 포터와 마법사의 돌,movie,"모험,판타지",wavve,28832,7.9
672,해리 포터와 비밀의 방,movie,"모험,판타지",wavve,22992,7.705
673,해리 포터와 아즈카반의 죄수,movie,"모험,판타지",wavve,22559,8.011
674,해리 포터와 불의 잔,movie,"모험,판타지",wavve,21602,7.8
675,해리 포터와 불사조 기사단,movie,"모험,판타지",wavve,20299,7.674
33444,Speedy Gonzales,movie,"애니메이션,가족,코미디,서부",기타,121,7.0
676,진주만,movie,"전쟁,로맨스,역사,액션",Disney Plus,6789,6.94
679,에이리언 2,movie,"액션,스릴러,SF",Disney Plus,10436,7.955
680,펄프 픽션,movie,"스릴러,범죄,코미디",기타,29296,8.488
262825,Veronica 2030,movie,SF,기타,14,3.714
426670,Dolly Parton's Christmas of Many Colors: Circle of Love,movie,"드라마,가족,TV 영화",기타,25,6.0
687,데드 맨 워킹,movie,드라마,Watcha,1433,7.32
164533,Dues dones,movie,드라마,기타,0,0.0
694,샤이닝,movie,"공포,스릴러",wavve,18348,8.2
66245,அருணாச்சலம்,movie,"액션,드라마,코미디",기타,28,7.3
711,파인딩 포레스터,movie,"드라마,역사",Watcha,1158,7.116
983768,블랙 워런트,movie,"액션,미스터리,스릴러",기타,56,5.509
525020,Christmas Harmony,movie,"코미디,드라마,음악,TV 영화",기타,27,6.2
1180383,Christmas Keepsake,movie,"TV 영화,코미디,로맨스",기타,1,6.0
744,탑건,movie,"액션,드라마",Watcha,9191,7.061
745,식스 센스,movie,"미스터리,스릴러,드라마",Disney Plus,12394,7.948
328426,노아의 방주,movie,"TV 영화,드라마,판타지",기타,13,5.731
747,새벽의 황당한 저주,movie,"공포,코미디",기타,8983,7.536
328432,España insólita,movie,다큐멘터리,기타,1,6.0
33521,드라큐라,movie,"공포,로맨스",기타,272,6.4
754,페이스 오프,movie,"액션,범죄,SF",Disney Plus,5656,7.049
752,브이 포 벤데타,movie,"액션,스릴러,SF",Watcha,15135,7.9
764,이블 데드,movie,공포,"Watcha, wavve",4289,7.278
765,이블 데드 2,movie,"공포,코미디,판타지",기타,3344,7.5
767,해리 포터와 혼혈왕자,movie,"모험,판타지",wavve,20267,7.682
131839,유령,movie,드라마,기타,1,8.0
769,좋은 친구들,movie,"드라마,범죄",기타,13788,8.453
770,바람과 함께 사라지다,movie,"드라마,전쟁,로맨스",Watcha,4229,7.925
66306,Kuppathu Raja,movie,드라마,기타,2,5.5
772,나 홀로 집에 2: 뉴욕을 헤매다,movie,"코미디,가족,모험",Disney Plus,10199,6.769
782,가타카,movie,"스릴러,SF,미스터리,로맨스",Watcha,6676,7.561
786,올모스트 페이머스,movie,"드라마,음악",기타,2978,7.498
787,미스터 & 미세스 스미스,movie,"액션,코미디,드라마,스릴러","Disney Plus, Watcha, wavve",10886,6.687
788,미세스 다웃파이어,movie,"코미디,드라마,가족",Disney Plus,6398,7.2
656150,Responsible Child,movie,"드라마,TV 영화",기타,18,6.556
792,플래툰,movie,"드라마,전쟁,액션",Watcha,4867,7.746
806,오멘,movie,"공포,미스터리,스릴러",Disney Plus,1145,5.65
807,세븐,movie,"범죄,미스터리,스릴러",기타,22304,8.377
808,슈렉,movie,"애니메이션,코미디,판타지,모험,가족","Amazon Prime Video, Netflix",18125,7.753
809,슈렉 2,movie,"애니메이션,가족,코미디,판타지,모험,로맨스","Amazon Prime Video, Netflix",13023,7.305
1245993,코트 스틸링,movie,"범죄,스릴러,코미디",기타,536,6.904
810,슈렉 3,movie,"판타지,모험,애니메이션,코미디,가족",Netflix,9480,6.299
812,알라딘,movie,"애니메이션,가족,모험,판타지,로맨스",Disney Plus,11689,7.655
33586,Heavy Petting,movie,"코미디,로맨스",기타,45,4.222
830,금지된 행성,movie,"SF,모험",기타,1010,7.256
426814,더 도메스틱스,movie,"공포,스릴러",기타,493,6.132
843,화양연화,movie,"드라마,로맨스","Disney Plus, Netflix, TVING, Watcha, wavve",3080,8.093
1082195,디 오더,movie,"범죄,드라마,스릴러",Amazon Prime Video,761,6.585
854,마스크,movie,"로맨스,코미디,범죄,판타지",기타,10841,7.0
1114967,굿 포춘,movie,"코미디,판타지",기타,242,7.12
855,블랙 호크 다운,movie,"액션,전쟁,역사","Watcha, wavve",6109,7.388
857,라이언 일병 구하기,movie,"전쟁,드라마,역사","Netflix, Watcha, wavve",16657,8.221
862,토이 스토리,movie,"가족,코미디,애니메이션,모험",Disney Plus,19301,8.0
863,토이 스토리 2,movie,"애니메이션,코미디,가족",Disney Plus,14473,7.602
1246049,드라큘라: 어 러브 테일,movie,"공포,판타지,로맨스",기타,432,7.0
33633,Oleanna,movie,드라마,기타,55,6.2
865,런닝맨,movie,"액션,스릴러,SF",Netflix,2622,6.5
361315,Arriving Tuesday,movie,"코미디,드라마,로맨스",기타,1,6.5
869,혹성탈출,movie,"스릴러,SF,액션,모험",Disney Plus,4267,5.763
871,혹성탈출,movie,"SF,모험,드라마,액션",Disney Plus,3794,7.643
1147766,The World Famous Musical Comedy Artists Seymour Hicks and Ellaline Terriss in a Selection of Their Dances,movie,다큐멘터리,기타,0,0.0
852862,더 라이처스,movie,"드라마,공포,미스터리,스릴러",기타,21,6.19
230274,Midnight Stallion,movie,"가족,드라마",기타,27,4.9
1409925,Molt lluny,movie,드라마,기타,38,6.539
1409937,Cuatro paredes,movie,드라마,기타,7,5.714
916,블리트,movie,"액션,범죄,스릴러",기타,1224,7.2
623511,더 버닝 씨,movie,"액션,스릴러,드라마",기타,276,6.609
