id,title,type,genres,providers,vote_count,vote_average,weighted_score
360784,히든,movie,"스릴러,공포",기타,1098,6.905,6.537822950554551
342,썸머 스톰,movie,"코미디,드라마",기타,206,6.8,6.429679505065689
345,아이즈 와이드 셧,movie,"드라마,스릴러,미스터리",기타,6667,7.485,7.147927494432699
348,에이리언,movie,"공포,SF",Disney Plus,15756,8.166,7.8824597813497865
350,악마는 프라다를 입는다,movie,"드라마,코미디",Disney Plus,12610,7.391,7.200246488111708
262500,인서전트,movie,"액션,SF,스릴러",기타,10244,6.364,6.373213879219625
262504,다이버전트 시리즈: 얼리전트,movie,"모험,SF,액션,미스터리",기타,6806,6.107,6.198472340929031
1081705,데드랜드,movie,"드라마,스릴러,서부",기타,5,5.9,6.403607890756732
377,나이트메어,movie,공포,Watcha,5511,7.3,6.982793106081266
380,레인 맨,movie,드라마,Watcha,6769,7.752,7.336017734594457
389,12명의 성난 사람들,movie,드라마,기타,9537,8.549,8.032889283898776
391,황야의 무법자,movie,서부,기타,4529,7.828,7.258206903180133
393,킬 빌: 2부,movie,"액션,범죄,스릴러","Netflix, wavve",14576,7.875,7.6224281050796705
395,에이리언 VS 프레데터,movie,"모험,SF,액션,공포",Disney Plus,4751,5.946,6.124255074875872
262543,오토마타,movie,"스릴러,SF","TVING, Watcha, wavve",1731,5.868,6.209098630523199
459151,보스 베이비 2,movie,"애니메이션,코미디,모험,가족",기타,2636,7.345,6.842590614295954
1114513,스픽 노 이블,movie,"공포,스릴러",기타,1793,7.184,6.6946954169895925
590223,러브 앤 몬스터스,movie,"코미디,모험,SF,액션",Netflix,4280,7.3,6.929321508785239
406,증오,movie,드라마,기타,4345,8.1,7.404387215654363
459159,퍼피!,movie,"가족,판타지,애니메이션,코미디",기타,183,6.432,6.4060142407209515
408,백설공주와 일곱 난쟁이,movie,"판타지,애니메이션,가족",Disney Plus,7792,7.125,6.923609125631562
328088,Haji Backpacker,movie,"드라마,모험",기타,0,0.0,6.404440961442163
411,"나니아 연대기: 사자, 마녀 그리고 옷장",movie,"모험,가족,판타지",Disney Plus,11163,7.135,6.979335963939142
164251,세레나,movie,드라마,기타,1046,5.585,6.193770154366387
262560,Aanmai Thavarael,movie,스릴러,기타,2,1.0,6.400867304785784
